STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SECTOR,Institutional sector,EDITION,Edition,REGULATORY_CATEGORY,Regulatory category,CATEGORY,Category,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,PRICE_BASE,Price base,BASE_PER,Base period
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,LUX,Luxembourg,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,S_O,Oversight,REG,Regulatory governance,2017,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,NZL,New Zealand,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,P_M,Methodology,REG,Regulatory governance,2017,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,NZL,New Zealand,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,S_M,Methodology,REG,Regulatory governance,2017,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,POL,Poland,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,S_M,Methodology,REG,Regulatory governance,2017,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,SVK,Slovak Republic,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,P_M,Methodology,REG,Regulatory governance,2017,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,SVK,Slovak Republic,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,P_O,Oversight,REG,Regulatory governance,2017,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,SVK,Slovak Republic,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,S_O,Oversight,REG,Regulatory governance,2017,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,SVK,Slovak Republic,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,S_M,Methodology,REG,Regulatory governance,2017,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,SVN,Slovenia,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,S_O,Oversight,REG,Regulatory governance,2017,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,SVN,Slovenia,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,S_M,Methodology,REG,Regulatory governance,2017,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,SWE,Sweden,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,P_O,Oversight,REG,Regulatory governance,2017,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,SWE,Sweden,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,S_O,Oversight,REG,Regulatory governance,2017,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,TUR,Türkiye,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,S_TR,Transparency,REG,Regulatory governance,2017,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,TUR,Türkiye,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,S_O,Oversight,REG,Regulatory governance,2017,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,TUR,Türkiye,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,P_TR,Transparency,REG,Regulatory governance,2017,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,TUR,Türkiye,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,P_O,Oversight,REG,Regulatory governance,2017,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,TUR,Türkiye,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,P_M,Methodology,REG,Regulatory governance,2017,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,TUR,Türkiye,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,S_M,Methodology,REG,Regulatory governance,2017,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,USA,United States,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,P_M,Methodology,REG,Regulatory governance,2017,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,BGR,Bulgaria,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,S_M,Methodology,REG,Regulatory governance,2017,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,HRV,Croatia,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,P_M,Methodology,REG,Regulatory governance,2017,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,HRV,Croatia,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,S_M,Methodology,REG,Regulatory governance,2017,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,CYP,Cyprus,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,P_M,Methodology,REG,Regulatory governance,2017,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,CYP,Cyprus,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,P_SA,Systematic adoption,REG,Regulatory governance,2017,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,CYP,Cyprus,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,S_M,Methodology,REG,Regulatory governance,2017,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,CYP,Cyprus,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,P_O,Oversight,REG,Regulatory governance,2017,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,CYP,Cyprus,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,S_SA,Systematic adoption,REG,Regulatory governance,2017,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,CYP,Cyprus,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,S_O,Oversight,REG,Regulatory governance,2017,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,MLT,Malta,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,S_M,Methodology,REG,Regulatory governance,2017,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,MLT,Malta,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,S_O,Oversight,REG,Regulatory governance,2017,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,MLT,Malta,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,P_O,Oversight,REG,Regulatory governance,2017,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,MLT,Malta,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,P_M,Methodology,REG,Regulatory governance,2017,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,ROU,Romania,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,S_TR,Transparency,REG,Regulatory governance,2017,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,ROU,Romania,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,S_O,Oversight,REG,Regulatory governance,2017,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,ROU,Romania,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,P_TR,Transparency,REG,Regulatory governance,2017,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,ROU,Romania,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,P_O,Oversight,REG,Regulatory governance,2017,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,CHL,Chile,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,S_M,Methodology,REG,Regulatory governance,2021,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,COL,Colombia,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,P_M,Methodology,REG,Regulatory governance,2021,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,COL,Colombia,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,S_O,Oversight,REG,Regulatory governance,2021,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,COL,Colombia,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,P_O,Oversight,REG,Regulatory governance,2021,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,CRI,Costa Rica,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,P_M,Methodology,REG,Regulatory governance,2021,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,FIN,Finland,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,S_M,Methodology,REG,Regulatory governance,2021,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,HUN,Hungary,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,P_O,Oversight,REG,Regulatory governance,2021,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,HUN,Hungary,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,S_O,Oversight,REG,Regulatory governance,2021,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,ISL,Iceland,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,P_O,Oversight,REG,Regulatory governance,2021,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,ISL,Iceland,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,S_O,Oversight,REG,Regulatory governance,2021,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,IRL,Ireland,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,P_M,Methodology,REG,Regulatory governance,2021,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,IRL,Ireland,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,S_M,Methodology,REG,Regulatory governance,2021,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,LUX,Luxembourg,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,P_O,Oversight,REG,Regulatory governance,2021,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,LUX,Luxembourg,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,S_O,Oversight,REG,Regulatory governance,2021,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,NZL,New Zealand,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,P_M,Methodology,REG,Regulatory governance,2021,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,NZL,New Zealand,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,S_M,Methodology,REG,Regulatory governance,2021,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,SVK,Slovak Republic,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,P_M,Methodology,REG,Regulatory governance,2021,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,SVK,Slovak Republic,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,P_O,Oversight,REG,Regulatory governance,2021,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,SVK,Slovak Republic,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,S_M,Methodology,REG,Regulatory governance,2021,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,SVK,Slovak Republic,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,S_O,Oversight,REG,Regulatory governance,2021,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,SVN,Slovenia,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,S_O,Oversight,REG,Regulatory governance,2021,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,SVN,Slovenia,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,S_M,Methodology,REG,Regulatory governance,2021,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,SWE,Sweden,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,P_O,Oversight,REG,Regulatory governance,2021,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2025(1.0),"Stakeholder engagement, RIA, and ex post evaluation indexes - government at a glance indicators, 2025 edition",I,A,Annual,SWE,Sweden,EPE,Ex post evaluation,IX,Index,_Z,Not applicable,2025,2025,S_O,Oversight,REG,Regulatory governance,2021,,0,,A,Normal value,0,Units,_Z,Not applicable,,
